** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.4.1.26817
File Revision:	D
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	21-Nov-2019-16E 20x20 100SSD G180 C180 Flat_Sym
Firmware Version:	10110
Board 1/Board 2 Revision:	F0/F0
Diode Type:	2
Temperature:	21.122, 0, 0
Inclinometer Tilt:	0
Inclinometer Rotation:	0
Background Threshold:	70
Measured Cavity Dose:	

Date:	11/21/19	Time:	17:59:35
Serial No:	85683016

Overrange Error:	0

Cal File:	Array cal 6x 200mu 37x37 fs 23iX 8_24_18.cal

Dose per Count:	0.0004448151886
Dose Info:	6X       6X SAD d=10 10x10
Dose IDDC:	1573002810

Time:	12101

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Device Position QA:	0
Shift X:	0.0	mm
Shift Y:	0.0	mm
Rotation:	0.0	deg

Background
Ycm	ROW	
11.0	55	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.581061262582494	0.000000000000000	2.663155789614026	0.000000000000000	2.583461102593160	0.000000000000000	2.556196253583094	0.000000000000000	2.591527231517899	0.000000000000000	2.685387640823945	0.000000000000000	2.643190453969735	0.000000000000000	2.344810345976935	0.000000000000000	2.338610759282715	0.000000000000000	2.896973535097660	0.000000000000000	1.970968602093194	0.000000000000000	1.659389374041730	0.000000000000000	2.597826811545897	0.000000000000000	2.397640157322845	0.000000000000000	3.216618892073862	0.000000000000000	2.844643690420638	0.000000000000000	2.451036597560162	0.000000000000000	2.422505166322245	0.000000000000000	2.640023998400107	0.000000000000000	2.705519632024532	0.000000000000000	2.169922005199653	0.000000000000000	2.872041863875741	0.000000000000000	2.925838277448170	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	54	0.000000000000000	0.000000000000000	0.000000000000000	2.112859142723818	0.000000000000000	2.359009399373375	0.000000000000000	2.783114459036064	0.000000000000000	2.269715352309846	0.000000000000000	1.959769348710086	0.000000000000000	2.404239717352176	0.000000000000000	2.566495566962203	0.000000000000000	3.491967202186521	0.000000000000000	2.675654956336244	0.000000000000000	2.176754883007800	0.000000000000000	3.586927538164122	0.000000000000000	2.202053196453570	0.000000000000000	3.117892140523965	0.000000000000000	1.585394307046197	0.000000000000000	2.839777348176788	0.000000000000000	3.174688354109726	0.000000000000000	2.603593093793747	0.000000000000000	2.700219985334311	0.000000000000000	1.877608159456036	0.000000000000000	2.145323645090327	0.000000000000000	1.738217452169855	0.000000000000000	2.515065662289181	0.000000000000000	2.256049596693554	0.000000000000000	2.471201919872009	0.000000000000000	0.000000000000000	0.000000000000000
10.0	53	0.000000000000000	0.000000000000000	1.752116525564962	0.000000000000000	3.411339244050397	0.000000000000000	2.711885874275048	0.000000000000000	2.181621225251650	0.000000000000000	2.601293247116859	0.000000000000000	3.286180921271915	0.000000000000000	2.423338444103726	0.000000000000000	2.984467702153190	0.000000000000000	2.639157389507366	0.000000000000000	2.222485167655490	0.000000000000000	3.687887474168389	0.000000000000000	2.855009666022265	0.000000000000000	2.737684154389707	0.000000000000000	2.672555162989134	0.000000000000000	3.465002333177788	0.000000000000000	2.359809346043597	0.000000000000000	2.384541030597960	0.000000000000000	2.624525031664556	0.000000000000000	2.557396173588427	0.000000000000000	2.291180587960802	0.000000000000000	2.446570228651423	0.000000000000000	3.069495366975535	0.000000000000000	2.053496433571095	0.000000000000000	2.487367508832744	0.000000000000000	2.143590427304846	0.000000000000000	0.000000000000000
9.5	52	0.000000000000000	2.352143190453970	0.000000000000000	2.310812612492501	0.000000000000000	2.718685420971935	0.000000000000000	2.751549896673555	0.000000000000000	2.210385974268382	0.000000000000000	3.043130457969469	0.000000000000000	3.532064529031398	0.000000000000000	2.800713285780948	0.000000000000000	2.735850943270449	0.000000000000000	2.499433371108593	0.000000000000000	2.930271315245650	0.000000000000000	2.651623225118326	0.000000000000000	3.109692687154190	0.000000000000000	3.065095660289314	0.000000000000000	1.878241450569962	0.000000000000000	2.311945870275315	0.000000000000000	2.361442570495300	0.000000000000000	2.197320178654756	0.000000000000000	2.522698486767549	0.000000000000000	1.995333644423705	0.000000000000000	1.618892073861742	0.000000000000000	2.500099993333778	0.000000000000000	1.997933471101927	0.000000000000000	1.671288580761283	0.000000000000000	2.528098126791547	0.000000000000000	2.295546963535764	0.000000000000000
9.0	51	2.783081127924805	0.000000000000000	2.718985400973268	0.000000000000000	2.257682821145257	0.000000000000000	2.664422371841877	0.000000000000000	2.787080861275915	0.000000000000000	1.697253516432238	0.000000000000000	2.036197586827545	0.000000000000000	2.706552896473569	0.000000000000000	2.302646490233984	0.000000000000000	2.703153123125125	0.000000000000000	3.457569495366975	0.000000000000000	3.142423838410773	0.000000000000000	2.558562762482501	0.000000000000000	2.356176254916339	0.000000000000000	2.655089660689288	0.000000000000000	2.183854409706020	0.000000000000000	1.564795680287981	0.000000000000000	2.267982134524365	0.000000000000000	2.202219852009866	0.000000000000000	1.722818478768082	0.000000000000000	1.658422771815212	0.000000000000000	2.997533497766816	0.000000000000000	2.260782614492367	0.000000000000000	1.806546230251317	0.000000000000000	2.694320378641424	0.000000000000000	2.049563362442504	0.000000000000000	2.247983467768815
8.5	50	0.000000000000000	2.226018265448970	0.000000000000000	2.329911339244050	0.000000000000000	2.764015732284514	0.000000000000000	3.049763349110060	0.000000000000000	2.785447636824212	0.000000000000000	3.189620691953870	0.000000000000000	2.224885007666156	0.000000000000000	2.107492833811079	0.000000000000000	2.963469102059863	0.000000000000000	2.292013865742284	0.000000000000000	2.699120058662756	0.000000000000000	2.030097993467102	0.000000000000000	3.405639624025065	0.000000000000000	2.548663422438504	0.000000000000000	3.884541030597960	0.000000000000000	2.341543897073529	0.000000000000000	2.812612492500500	0.000000000000000	3.423071795213652	0.000000000000000	2.656989534031065	0.000000000000000	2.217685487634158	0.000000000000000	1.937670821945204	0.000000000000000	2.612059196053596	0.000000000000000	1.981134591027265	0.000000000000000	2.229651356576228	0.000000000000000	2.350809946003600	0.000000000000000	2.733151123258450	0.000000000000000
8.0	49	2.572395173655090	0.000000000000000	2.282147856809546	0.000000000000000	2.488600759949337	0.000000000000000	1.887140857276182	0.000000000000000	2.251249916672222	0.000000000000000	2.236717552163189	0.000000000000000	3.208086127591494	0.000000000000000	3.550663289114059	0.000000000000000	1.721285247650157	0.000000000000000	2.140723951736551	0.000000000000000	3.288514099060063	0.000000000000000	2.663722418505433	0.000000000000000	2.821378574761682	0.000000000000000	3.989000733284448	0.000000000000000	2.384407706152923	0.000000000000000	2.831311245916939	0.000000000000000	1.896640223985068	0.000000000000000	2.261849210052663	0.000000000000000	2.260749283381108	0.000000000000000	2.442003866408906	0.000000000000000	2.613192453836411	0.000000000000000	3.252683154456370	0.000000000000000	2.562795813612426	0.000000000000000	2.925204986334244	0.000000000000000	2.900273315112326	0.000000000000000	2.634591027264849	0.000000000000000	2.726884874341711
7.5	48	0.000000000000000	2.485234317712152	0.000000000000000	1.959969335377642	0.000000000000000	2.518698753416439	0.000000000000000	2.697586827544830	0.000000000000000	2.055962935804280	0.000000000000000	2.994867008866076	0.000000000000000	2.051396573561763	0.000000000000000	2.378408106126258	0.000000000000000	3.854143057129525	0.000000000000000	2.538830744617026	0.000000000000000	2.322245183654423	0.000000000000000	2.816912205852943	0.000000000000000	2.860975934937671	0.000000000000000	2.244817012199187	0.000000000000000	2.862109192720485	0.000000000000000	2.706186254249717	0.000000000000000	2.848243450436637	0.000000000000000	2.874341710552630	0.000000000000000	2.358109459369375	0.000000000000000	2.948103459769349	0.000000000000000	2.134591027264849	0.000000000000000	1.435537630824612	0.000000000000000	2.431171255249650	0.000000000000000	2.467068862075862	0.000000000000000	2.505432971135258	0.000000000000000	2.199553363109126	0.000000000000000
7.0	47	2.377741483901073	0.000000000000000	3.333577761482568	0.000000000000000	1.673655089660689	0.000000000000000	2.711552563162456	0.000000000000000	2.106492900473302	0.000000000000000	2.238250783281114	0.000000000000000	1.949703353109793	0.000000000000000	2.245250316645557	0.000000000000000	3.178188120791947	0.000000000000000	2.701053263115792	0.000000000000000	2.465402306512899	0.000000000000000	3.465235650956603	0.000000000000000	2.846110259316045	0.000000000000000	3.557496166922205	0.000000000000000	2.840377308179455	0.000000000000000	1.937704153056463	0.000000000000000	2.879941337244184	0.000000000000000	3.457236184254383	0.000000000000000	3.311512565828945	0.000000000000000	2.782547830144657	0.000000000000000	3.193020465302313	0.000000000000000	2.268182121191920	0.000000000000000	2.846643557096193	0.000000000000000	2.440537297513499	0.000000000000000	2.913439104059729	0.000000000000000	2.543930404639691	0.000000000000000	2.282547830144657
6.5	46	0.000000000000000	3.042830477968136	0.000000000000000	3.562362509166056	0.000000000000000	2.202819812012533	0.000000000000000	2.210219318712086	0.000000000000000	2.497066862209186	0.000000000000000	2.849843343777081	0.000000000000000	2.668788747416839	0.000000000000000	1.674521698553430	0.000000000000000	2.602259849343377	0.000000000000000	2.178454769682021	0.000000000000000	2.657356176254916	0.000000000000000	2.544063729084728	0.000000000000000	2.105426304913006	0.000000000000000	2.095893607092861	0.000000000000000	2.874008399440037	0.000000000000000	2.788814079061396	0.000000000000000	2.036897540163989	0.000000000000000	3.013665755616292	0.000000000000000	2.217718818745417	0.000000000000000	1.975001666555563	0.000000000000000	2.817478834744350	0.000000000000000	2.002099860009333	0.000000000000000	2.336110925938271	0.000000000000000	2.846143590427305	0.000000000000000	2.137624158389441	0.000000000000000	2.462202519832011	0.000000000000000
