** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.4.1.26817
File Revision:	D
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	21-Nov-2019-18x 20x20 MapPhan G180 C180 Flat_Sym
Firmware Version:	10110
Board 1/Board 2 Revision:	F0/F0
Diode Type:	2
Temperature:	21.122, 0, 0
Inclinometer Tilt:	0
Inclinometer Rotation:	0
Background Threshold:	70
Measured Cavity Dose:	

Date:	11/21/19	Time:	17:52:30
Serial No:	85683016

Overrange Error:	0

Cal File:	Array cal 6x 200mu 37x37 fs 23iX 8_24_18.cal

Dose per Count:	0.0004448151886
Dose Info:	6X       6X SAD d=10 10x10
Dose IDDC:	1573002810

Time:	11051

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Device Position QA:	0
Shift X:	0.0	mm
Shift Y:	0.0	mm
Rotation:	0.0	deg

Background
Ycm	ROW	
11.0	55	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.576708995767090	0.000000000000000	2.660267306602673	0.000000000000000	2.579342065793421	0.000000000000000	2.551844815518448	0.000000000000000	2.585408125854081	0.000000000000000	2.684264906842649	0.000000000000000	2.637502916375029	0.000000000000000	2.340665933406660	0.000000000000000	2.333766623337666	0.000000000000000	2.894743858947439	0.000000000000000	1.962170449621705	0.000000000000000	1.651401526514015	0.000000000000000	2.596240375962404	0.000000000000000	2.395293803952938	0.000000000000000	3.211178882111789	0.000000000000000	2.841515848415158	0.000000000000000	2.448888444488885	0.000000000000000	2.419358064193581	0.000000000000000	2.637502916375029	0.000000000000000	2.705162817051628	0.000000000000000	2.168649801686498	0.000000000000000	2.872346098723461	0.000000000000000	2.923907609239076	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	54	0.000000000000000	0.000000000000000	0.000000000000000	2.106622671066227	0.000000000000000	2.353897943538979	0.000000000000000	2.778588807785888	0.000000000000000	2.263073692630737	0.000000000000000	1.953471319534713	0.000000000000000	2.397426923974269	0.000000000000000	2.557744225577442	0.000000000000000	3.490650934906509	0.000000000000000	2.672699396726994	0.000000000000000	2.174382561743826	0.000000000000000	3.585541445855414	0.000000000000000	2.198513481985135	0.000000000000000	3.114055261140553	0.000000000000000	1.595440455954405	0.000000000000000	2.837516248375163	0.000000000000000	3.169649701696497	0.000000000000000	2.599806685998067	0.000000000000000	2.698063526980635	0.000000000000000	1.875779088757791	0.000000000000000	2.143918941439189	0.000000000000000	1.736459687364597	0.000000000000000	2.512582075125821	0.000000000000000	2.254207912542079	0.000000000000000	2.469419724694197	0.000000000000000	0.000000000000000	0.000000000000000
10.0	53	0.000000000000000	0.000000000000000	1.747825217478252	0.000000000000000	3.407892544078925	0.000000000000000	2.708529147085291	0.000000000000000	2.176515681765157	0.000000000000000	2.598606805986068	0.000000000000000	3.281105222811052	0.000000000000000	2.419424724194247	0.000000000000000	2.980901909809019	0.000000000000000	2.637169616371696	0.000000000000000	2.219011432190114	0.000000000000000	3.688564476885645	0.000000000000000	2.849048428490484	0.000000000000000	2.731960137319601	0.000000000000000	2.668766456687665	0.000000000000000	3.464553544645535	0.000000000000000	2.354197913541979	0.000000000000000	2.380495283804953	0.000000000000000	2.622971036229711	0.000000000000000	2.555477785554778	0.000000000000000	2.289404392894044	0.000000000000000	2.444555544445556	0.000000000000000	3.071259540712596	0.000000000000000	2.053228010532280	0.000000000000000	2.487251274872513	0.000000000000000	2.141652501416525	0.000000000000000	0.000000000000000
9.5	52	0.000000000000000	2.346398693463987	0.000000000000000	2.306436023064360	0.000000000000000	2.714761857147618	0.000000000000000	2.747225277472253	0.000000000000000	2.205279472052795	0.000000000000000	3.038062860380629	0.000000000000000	3.529580375295804	0.000000000000000	2.793753957937540	0.000000000000000	2.728993767289938	0.000000000000000	2.492984034929840	0.000000000000000	2.925340799253408	0.000000000000000	2.651468186514682	0.000000000000000	3.109222411092224	0.000000000000000	3.063027030630270	0.000000000000000	1.872612738726127	0.000000000000000	2.307469253074693	0.000000000000000	2.355197813551978	0.000000000000000	2.194447221944472	0.000000000000000	2.520181315201813	0.000000000000000	1.993100689931007	0.000000000000000	1.618004866180049	0.000000000000000	2.498750124987501	0.000000000000000	1.995867079958671	0.000000000000000	1.669299736692997	0.000000000000000	2.527180615271806	0.000000000000000	2.293737292937373	0.000000000000000
9.0	51	2.779322067793221	0.000000000000000	2.715261807152618	0.000000000000000	2.253807952538080	0.000000000000000	2.660667266606673	0.000000000000000	2.784221577842216	0.000000000000000	1.691597506915975	0.000000000000000	2.027763890277639	0.000000000000000	2.703596307035963	0.000000000000000	2.300136653001366	0.000000000000000	2.699396726993967	0.000000000000000	3.455354464553545	0.000000000000000	3.138719461387195	0.000000000000000	2.553078025530780	0.000000000000000	2.350998233509982	0.000000000000000	2.652168116521681	0.000000000000000	2.179948671799487	0.000000000000000	1.561577175615772	0.000000000000000	2.265840082658401	0.000000000000000	2.198780121987801	0.000000000000000	1.719794687197947	0.000000000000000	1.655434456554345	0.000000000000000	2.996067059960671	0.000000000000000	2.259074092590741	0.000000000000000	1.804852848048528	0.000000000000000	2.692597406925974	0.000000000000000	2.048228510482285	0.000000000000000	2.245808752458088
8.5	50	0.000000000000000	2.221411192214112	0.000000000000000	2.322934373229344	0.000000000000000	2.754424557544246	0.000000000000000	3.046895310468953	0.000000000000000	2.779388727793887	0.000000000000000	3.182848381828484	0.000000000000000	2.219144752191447	0.000000000000000	2.100756591007566	0.000000000000000	2.955604439556045	0.000000000000000	2.288437822884378	0.000000000000000	2.692130786921308	0.000000000000000	2.026264040262641	0.000000000000000	3.401693164016931	0.000000000000000	2.545045495450455	0.000000000000000	3.879078758790788	0.000000000000000	2.336999633369996	0.000000000000000	2.807952538079525	0.000000000000000	3.425924074259241	0.000000000000000	2.656301036563010	0.000000000000000	2.216045062160451	0.000000000000000	1.935206479352065	0.000000000000000	2.610005666100057	0.000000000000000	1.980035329800353	0.000000000000000	2.227777222277772	0.000000000000000	2.348231843482318	0.000000000000000	2.731393527313935	0.000000000000000
8.0	49	2.568609805686098	0.000000000000000	2.278772122787721	0.000000000000000	2.484518214845182	0.000000000000000	1.883111688831117	0.000000000000000	2.245842082458421	0.000000000000000	2.231776822317768	0.000000000000000	3.204212912042129	0.000000000000000	3.547545245475452	0.000000000000000	1.716761657167617	0.000000000000000	2.137419591374196	0.000000000000000	3.286171382861714	0.000000000000000	2.662433756624337	0.000000000000000	2.814985168149852	0.000000000000000	3.983834949838350	0.000000000000000	2.379462053794621	0.000000000000000	2.829250408292504	0.000000000000000	1.893343998933440	0.000000000000000	2.258274172582742	0.000000000000000	2.260073992600740	0.000000000000000	2.439856014398560	0.000000000000000	2.610805586108056	0.000000000000000	3.250374962503749	0.000000000000000	2.562777055627770	0.000000000000000	2.925740759257407	0.000000000000000	2.898476818984768	0.000000000000000	2.634369896343699	0.000000000000000	2.721061227210612
7.5	48	0.000000000000000	2.480018664800187	0.000000000000000	1.955204479552045	0.000000000000000	2.511448855114489	0.000000000000000	2.693130686931307	0.000000000000000	2.050594940505949	0.000000000000000	2.991000899910009	0.000000000000000	2.043628970436290	0.000000000000000	2.374229243742292	0.000000000000000	3.849448388494484	0.000000000000000	2.535479785354798	0.000000000000000	2.318768123187681	0.000000000000000	2.811785488117855	0.000000000000000	2.857247608572476	0.000000000000000	2.241509182415092	0.000000000000000	2.856314368563144	0.000000000000000	2.702096457020965	0.000000000000000	2.843682298436823	0.000000000000000	2.871079558710796	0.000000000000000	2.357630903576309	0.000000000000000	2.946238709462387	0.000000000000000	2.131086891310869	0.000000000000000	1.433689964336900	0.000000000000000	2.430123654301236	0.000000000000000	2.464320234643202	0.000000000000000	2.504549545045495	0.000000000000000	2.198613471986135	0.000000000000000
7.0	47	2.373729293737293	0.000000000000000	3.334299903342999	0.000000000000000	1.668166516681665	0.000000000000000	2.707762557077626	0.000000000000000	2.099890010998900	0.000000000000000	2.234809852348099	0.000000000000000	1.943005699430057	0.000000000000000	2.242775722427757	0.000000000000000	3.175382461753824	0.000000000000000	2.698163516981635	0.000000000000000	2.462853714628537	0.000000000000000	3.463187014631870	0.000000000000000	2.841515848415158	0.000000000000000	3.552311435523114	0.000000000000000	2.838049528380495	0.000000000000000	1.933973269339733	0.000000000000000	2.876945638769457	0.000000000000000	3.456154384561544	0.000000000000000	3.310335633103356	0.000000000000000	2.781621837816219	0.000000000000000	3.190047661900477	0.000000000000000	2.266806652668067	0.000000000000000	2.847181948471819	0.000000000000000	2.438722794387228	0.000000000000000	2.916008399160084	0.000000000000000	2.542212445422125	0.000000000000000	2.280838582808386
6.5	46	0.000000000000000	3.035329800353298	0.000000000000000	3.558244175582442	0.000000000000000	2.196247041962470	0.000000000000000	2.199413391994134	0.000000000000000	2.490150984901510	0.000000000000000	2.843448988434490	0.000000000000000	2.662467086624671	0.000000000000000	1.666733326667333	0.000000000000000	2.596173715961737	0.000000000000000	2.176848981768490	0.000000000000000	2.651468186514682	0.000000000000000	2.539512715395127	0.000000000000000	2.103756291037563	0.000000000000000	2.091357530913575	0.000000000000000	2.867646568676466	0.000000000000000	2.782721727827217	0.000000000000000	2.032196780321968	0.000000000000000	3.011232210112322	0.000000000000000	2.214711862147118	0.000000000000000	1.973269339732693	0.000000000000000	2.816185048161850	0.000000000000000	1.999966669999667	0.000000000000000	2.331466853314669	0.000000000000000	2.844215578442156	0.000000000000000	2.133719961337200	0.000000000000000	2.460820584608206	0.000000000000000
