** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.4.1.26817
File Revision:	D
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	21-Nov-2019-6x 20x20 MapPhan G180 C180 Flat_Sym
Firmware Version:	10110
Board 1/Board 2 Revision:	F0/F0
Diode Type:	2
Temperature:	20.863, 0, 0
Inclinometer Tilt:	0
Inclinometer Rotation:	0
Background Threshold:	70
Measured Cavity Dose:	

Date:	11/21/19	Time:	17:49:08
Serial No:	85683016

Overrange Error:	0

Cal File:	Array cal 6x 200mu 37x37 fs 23iX 8_24_18.cal

Dose per Count:	0.0004448151886
Dose Info:	6X       6X SAD d=10 10x10
Dose IDDC:	1573002810

Time:	11001

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Device Position QA:	0
Shift X:	0.0	mm
Shift Y:	0.0	mm
Rotation:	0.0	deg

Background
Ycm	ROW	
16.0	65	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.194447221944472	0.000000000000000	1.830383628303836	0.000000000000000	2.671632836716328	0.000000000000000	2.559877345598773	0.000000000000000	2.503849615038496	0.000000000000000	2.791187547911875	0.000000000000000	1.865546778655468	0.000000000000000	2.804852848048529	0.000000000000000	3.404126254041262	0.000000000000000	3.340465953404660	0.000000000000000	2.146018731460187	0.000000000000000	2.264640202646402	0.000000000000000	2.469186414691864	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.5	64	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.468619804686198	0.000000000000000	3.040362630403626	0.000000000000000	2.523380995233810	0.000000000000000	2.028330500283305	0.000000000000000	2.813618638136187	0.000000000000000	2.794253907942539	0.000000000000000	2.655334466553345	0.000000000000000	2.035629770356298	0.000000000000000	3.152584741525847	0.000000000000000	2.629470386294704	0.000000000000000	2.602406426024064	0.000000000000000	3.181481851814818	0.000000000000000	1.963903609639036	0.000000000000000	1.942105789421058	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.0	63	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.506116055061161	0.000000000000000	2.749891677498917	0.000000000000000	2.231110222311102	0.000000000000000	2.223710962237110	0.000000000000000	2.104889511048895	0.000000000000000	2.936606339366064	0.000000000000000	2.715028497150285	0.000000000000000	2.616938306169383	0.000000000000000	2.936206379362064	0.000000000000000	3.015198480151985	0.000000000000000	2.518181515181815	0.000000000000000	2.821484518214845	0.000000000000000	1.926773989267740	0.000000000000000	2.288204512882045	0.000000000000000	2.259840682598407	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.5	62	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.674632536746325	0.000000000000000	2.335433123354331	0.000000000000000	2.396760323967603	0.000000000000000	1.767423257674233	0.000000000000000	2.635969736359697	0.000000000000000	2.705262807052628	0.000000000000000	2.522814385228144	0.000000000000000	2.158150851581508	0.000000000000000	2.083558310835583	0.000000000000000	1.724894177248942	0.000000000000000	2.913541979135420	0.000000000000000	2.317801553178016	0.000000000000000	2.737759557377596	0.000000000000000	1.681398526813985	0.000000000000000	2.650134986501350	0.000000000000000	2.420157984201580	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.0	61	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.730460287304603	0.000000000000000	2.930473619304736	0.000000000000000	2.637436256374363	0.000000000000000	2.579442055794420	0.000000000000000	2.448088524480885	0.000000000000000	2.437322934373229	0.000000000000000	2.573142685731427	0.000000000000000	2.134319901343199	0.000000000000000	1.873879278738793	0.000000000000000	1.785854747858548	0.000000000000000	1.832950038329500	0.000000000000000	2.407325934073259	0.000000000000000	3.132220111322201	0.000000000000000	3.560977235609772	0.000000000000000	2.483051694830517	0.000000000000000	2.256341032563410	0.000000000000000	2.867513248675133	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.5	60	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.457820884578209	0.000000000000000	2.111955471119555	0.000000000000000	2.140185981401860	0.000000000000000	2.864013598640136	0.000000000000000	2.284138252841382	0.000000000000000	2.244875512448755	0.000000000000000	2.284938172849382	0.000000000000000	2.430923574309236	0.000000000000000	1.725460787254608	0.000000000000000	2.548145185481452	0.000000000000000	2.389427723894277	0.000000000000000	2.982501749825018	0.000000000000000	3.234009932340099	0.000000000000000	3.284504882845049	0.000000000000000	2.207545912075459	0.000000000000000	2.926307369263074	0.000000000000000	2.839016098390161	0.000000000000000	2.180815251808152	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.0	59	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.594640535946406	0.000000000000000	2.642202446422024	0.000000000000000	3.036429690364297	0.000000000000000	2.932540079325401	0.000000000000000	2.885744758857447	0.000000000000000	2.459120754591208	0.000000000000000	2.567109955671099	0.000000000000000	2.854681198546812	0.000000000000000	2.729927007299270	0.000000000000000	1.897576908975769	0.000000000000000	2.926973969269740	0.000000000000000	2.088991100889911	0.000000000000000	1.850581608505816	0.000000000000000	2.403692964036930	0.000000000000000	3.046262040462620	0.000000000000000	2.267873212678732	0.000000000000000	2.609039096090391	0.000000000000000	2.585241475852415	0.000000000000000	2.692597406925974	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.5	58	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.646368696463687	0.000000000000000	2.390594273905943	0.000000000000000	2.164716861647169	0.000000000000000	3.058094190580942	0.000000000000000	2.328500483285005	0.000000000000000	2.639902676399027	0.000000000000000	2.698496816984968	0.000000000000000	2.154784521547845	0.000000000000000	2.517381595173816	0.000000000000000	2.306769323067693	0.000000000000000	2.603439656034396	0.000000000000000	1.842515748425158	0.000000000000000	2.109355731093557	0.000000000000000	2.922774389227744	0.000000000000000	3.009732360097324	0.000000000000000	2.522914375229144	0.000000000000000	3.306402693064027	0.000000000000000	2.518881445188815	0.000000000000000	2.669799686697997	0.000000000000000	2.518081525180815	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.0	57	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.797153617971536	0.000000000000000	2.273405992734060	0.000000000000000	2.592674065926741	0.000000000000000	2.647468586474686	0.000000000000000	2.992667399926674	0.000000000000000	3.503549645035497	0.000000000000000	3.129120421291204	0.000000000000000	2.489451054894511	0.000000000000000	2.214578542145786	0.000000000000000	2.327000633270006	0.000000000000000	3.189281071892811	0.000000000000000	2.616305036163050	0.000000000000000	3.221111222211112	0.000000000000000	3.499816684998167	0.000000000000000	2.472686064726861	0.000000000000000	2.312202113122021	0.000000000000000	2.746825317468253	0.000000000000000	2.432790054327901	0.000000000000000	2.100289971002899	0.000000000000000	2.101456521014565	0.000000000000000	2.259774022597740	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.5	56	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.934406559344066	0.000000000000000	2.086824650868246	0.000000000000000	1.876845648768456	0.000000000000000	2.170116321701163	0.000000000000000	2.841049228410492	0.000000000000000	3.286404692864047	0.000000000000000	2.314501883145019	0.000000000000000	3.591474185914742	0.000000000000000	2.715328467153284	0.000000000000000	2.161717161617172	0.000000000000000	1.923940939239409	0.000000000000000	2.635403126354031	0.000000000000000	2.522414425224144	0.000000000000000	2.640102656401027	0.000000000000000	1.943139019431390	0.000000000000000	2.638269506382695	0.000000000000000	2.699996666999967	0.000000000000000	2.686631336866313	0.000000000000000	2.837849548378495	0.000000000000000	3.093690630936906	0.000000000000000	1.913508649135087	0.000000000000000	1.888944438889444	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
