** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.4.1.26817
File Revision:	D
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	21-Nov-2019-20E 20x20 100SSD G180 C180 Flat_Sym
Firmware Version:	10110
Board 1/Board 2 Revision:	F0/F0
Diode Type:	2
Temperature:	21.148, 0, 0
Inclinometer Tilt:	0
Inclinometer Rotation:	0
Background Threshold:	70
Measured Cavity Dose:	

Date:	11/21/19	Time:	18:00:51
Serial No:	85683016

Overrange Error:	0

Cal File:	Array cal 6x 200mu 37x37 fs 23iX 8_24_18.cal

Dose per Count:	0.0004448151886
Dose Info:	6X       6X SAD d=10 10x10
Dose IDDC:	1573002810

Time:	11001

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Device Position QA:	0
Shift X:	0.0	mm
Shift Y:	0.0	mm
Rotation:	0.0	deg

Background
Ycm	ROW	
16.0	65	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.210252649823345	0.000000000000000	1.846476901539897	0.000000000000000	2.686720885274315	0.000000000000000	2.571828544763683	0.000000000000000	2.509932671155256	0.000000000000000	2.804279714685688	0.000000000000000	1.875474968335444	0.000000000000000	2.816478901406573	0.000000000000000	3.417805479634691	0.000000000000000	3.341577228184788	0.000000000000000	2.153223118458770	0.000000000000000	2.271681887874142	0.000000000000000	2.467235517632158	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.5	64	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.487534164389041	0.000000000000000	3.054429704686354	0.000000000000000	2.536330911272582	0.000000000000000	2.045496966868876	0.000000000000000	2.819545363642424	0.000000000000000	2.803613092460503	0.000000000000000	2.666455569628691	0.000000000000000	2.046496900206653	0.000000000000000	3.162522498500100	0.000000000000000	2.637057529498033	0.000000000000000	2.609759349376708	0.000000000000000	3.184521031931205	0.000000000000000	1.968202119858676	0.000000000000000	1.947203519765349	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.0	63	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.525964935670955	0.000000000000000	2.768348776748217	0.000000000000000	2.240517298846743	0.000000000000000	2.233117792147190	0.000000000000000	2.111159256049597	0.000000000000000	2.940070661955870	0.000000000000000	2.721885207652823	0.000000000000000	2.626124925005000	0.000000000000000	2.938304113059129	0.000000000000000	3.018932071195254	0.000000000000000	2.525431637890807	0.000000000000000	2.832444503699753	0.000000000000000	1.931671221918539	0.000000000000000	2.293380441303913	0.000000000000000	2.265182321178588	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.5	62	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.687987467502166	0.000000000000000	2.352076528231451	0.000000000000000	2.406806212919139	0.000000000000000	1.786947536830878	0.000000000000000	2.651356576228252	0.000000000000000	2.710652623158456	0.000000000000000	2.533331111259249	0.000000000000000	2.169655356309579	0.000000000000000	2.098660089327378	0.000000000000000	1.733317778814746	0.000000000000000	2.927104859676021	0.000000000000000	2.323478434771015	0.000000000000000	2.743083794413706	0.000000000000000	1.686487567495500	0.000000000000000	2.656922871808546	0.000000000000000	2.421538564095727	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.0	61	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.738884074395040	0.000000000000000	2.943937070861943	0.000000000000000	2.646290247316846	0.000000000000000	2.586427571495234	0.000000000000000	2.458436104259716	0.000000000000000	2.442970468635424	0.000000000000000	2.580394640357309	0.000000000000000	2.142757149523365	0.000000000000000	1.887007532831145	0.000000000000000	1.793247116858876	0.000000000000000	1.838077461502567	0.000000000000000	2.414339044063729	0.000000000000000	3.138790747283514	0.000000000000000	3.560362642490501	0.000000000000000	2.489367375508299	0.000000000000000	2.262882474501700	0.000000000000000	2.866542230517966	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.5	60	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.474568362109193	0.000000000000000	2.123291780547964	0.000000000000000	2.157189520698620	0.000000000000000	2.876841543897073	0.000000000000000	2.294680354643024	0.000000000000000	2.259082727818146	0.000000000000000	2.291813879074728	0.000000000000000	2.437237517498833	0.000000000000000	1.734817678821412	0.000000000000000	2.559196053596427	0.000000000000000	2.399473368442104	0.000000000000000	2.997366842210519	0.000000000000000	3.233917738817412	0.000000000000000	3.286980867942137	0.000000000000000	2.213619092060529	0.000000000000000	2.926338244117059	0.000000000000000	2.841843877074862	0.000000000000000	2.188420771948537	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.0	59	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.604159722685154	0.000000000000000	2.648490100659956	0.000000000000000	3.052063195786948	0.000000000000000	2.939804013065796	0.000000000000000	2.890407306179588	0.000000000000000	2.473201786547564	0.000000000000000	2.575861609226052	0.000000000000000	2.862475834944337	0.000000000000000	2.740350643290447	0.000000000000000	1.909239384041064	0.000000000000000	2.937037530831278	0.000000000000000	2.095726951536564	0.000000000000000	1.858576094927005	0.000000000000000	2.407372841810546	0.000000000000000	3.053196453569762	0.000000000000000	2.274048396773548	0.000000000000000	2.616592227184854	0.000000000000000	2.589727351509899	0.000000000000000	2.697853476434904	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.5	58	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.661955869608693	0.000000000000000	2.403439770681954	0.000000000000000	2.178254783014466	0.000000000000000	3.075228318112126	0.000000000000000	2.344777014865675	0.000000000000000	2.663355776281581	0.000000000000000	2.707352843143791	0.000000000000000	2.158789414039064	0.000000000000000	2.528231451236584	0.000000000000000	2.317845476968202	0.000000000000000	2.617192187187521	0.000000000000000	1.857942803813079	0.000000000000000	2.127858142790481	0.000000000000000	2.937337510832611	0.000000000000000	3.012632491167256	0.000000000000000	2.523931737884141	0.000000000000000	3.307979468035464	0.000000000000000	2.522831811212586	0.000000000000000	2.671255249650023	0.000000000000000	2.523565095660290	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.0	57	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.808379441370575	0.000000000000000	2.284681021265249	0.000000000000000	2.604759682687821	0.000000000000000	2.666022265182321	0.000000000000000	2.996633557762816	0.000000000000000	3.504699686687554	0.000000000000000	3.133624425038331	0.000000000000000	2.494400373308446	0.000000000000000	2.220451969868675	0.000000000000000	2.335310979268049	0.000000000000000	3.204619692020532	0.000000000000000	2.623058462769149	0.000000000000000	3.222951803213119	0.000000000000000	3.504266382241184	0.000000000000000	2.480167988800746	0.000000000000000	2.321278581427905	0.000000000000000	2.752949803346444	0.000000000000000	2.436137590827278	0.000000000000000	2.102893140457303	0.000000000000000	2.105592960469302	0.000000000000000	2.264482367842144	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.5	56	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.949936670888607	0.000000000000000	2.098960069328712	0.000000000000000	1.889907339510699	0.000000000000000	2.181154589694021	0.000000000000000	2.852743150456636	0.000000000000000	3.304679688020799	0.000000000000000	2.332244517032198	0.000000000000000	3.596026931537898	0.000000000000000	2.723951736550897	0.000000000000000	2.166622225184988	0.000000000000000	1.934137724151723	0.000000000000000	2.646123591760549	0.000000000000000	2.534264382374508	0.000000000000000	2.651756549563363	0.000000000000000	1.957236184254383	0.000000000000000	2.644757016198920	0.000000000000000	2.701419905339644	0.000000000000000	2.691220585294314	0.000000000000000	2.843910405972935	0.000000000000000	3.094693687087528	0.000000000000000	1.920338644090394	0.000000000000000	1.896806879541364	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
