** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.4.1.26817
File Revision:	D
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	6e
Firmware Version:	10110
Board 1/Board 2 Revision:	F0/F0
Diode Type:	2
Temperature:	21.822, 0, 0
Inclinometer Tilt:	0
Inclinometer Rotation:	0
Background Threshold:	80
Measured Cavity Dose:	

Date:	02/28/20	Time:	16:14:21
Serial No:	85683016

Overrange Error:	0

Cal File:	Array cal 6x 200mu 37x37 fs 23iX 8_24_18.cal

Dose per Count:	0.0004753178196
Dose Info:	6e       20cone 100mu 100ssd
Dose IDDC:	1558467791

Time:	11050

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Device Position QA:	0
Shift X:	0.0	mm
Shift Y:	0.0	mm
Rotation:	0.0	deg

Background
Ycm	ROW	
11.0	55	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.839438515527353	0.000000000000000	3.045412300099350	0.000000000000000	2.982533730731019	0.000000000000000	2.913245521263981	0.000000000000000	2.950485530237477	0.000000000000000	3.070345800083325	0.000000000000000	3.003172771848861	0.000000000000000	2.667916546485915	0.000000000000000	2.675383777200910	0.000000000000000	3.314809473448066	0.000000000000000	2.267057654712688	0.000000000000000	1.907316604172676	0.000000000000000	2.999519276992597	0.000000000000000	2.750056084350864	0.000000000000000	3.672851969361920	0.000000000000000	3.253821747908855	0.000000000000000	2.817165016184341	0.000000000000000	2.777681633176297	0.000000000000000	3.015222895234432	0.000000000000000	3.119155209434990	0.000000000000000	2.498605903278531	0.000000000000000	3.304457904688652	0.000000000000000	3.344005384097683	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	54	0.000000000000000	0.000000000000000	0.000000000000000	2.421177450886133	0.000000000000000	2.693266673076307	0.000000000000000	3.166971124571355	0.000000000000000	2.611639906419255	0.000000000000000	2.225651379675031	0.000000000000000	2.737012466749992	0.000000000000000	2.920808896580457	0.000000000000000	3.977406018652053	0.000000000000000	3.070986764093196	0.000000000000000	2.524340608274845	0.000000000000000	4.105182194019806	0.000000000000000	2.525302054289652	0.000000000000000	3.553216036919527	0.000000000000000	1.949844566227606	0.000000000000000	3.268147293529468	0.000000000000000	3.626798705252700	0.000000000000000	2.972342402974073	0.000000000000000	3.084927731307887	0.000000000000000	2.151940518539884	0.000000000000000	2.468448546614108	0.000000000000000	2.005063615677980	0.000000000000000	2.886132743646444	0.000000000000000	2.575297247059578	0.000000000000000	2.838541165913534	0.000000000000000	0.000000000000000	0.000000000000000
10.0	53	0.000000000000000	0.000000000000000	1.996827228151139	0.000000000000000	3.897317565618691	0.000000000000000	3.101112072557126	0.000000000000000	2.515303015735666	0.000000000000000	2.997147710156075	0.000000000000000	3.756722110053520	0.000000000000000	2.762651027144826	0.000000000000000	3.399000096144602	0.000000000000000	3.006473736499696	0.000000000000000	2.550171457872640	0.000000000000000	4.199147517866872	0.000000000000000	3.274781271031632	0.000000000000000	3.129250392590456	0.000000000000000	3.094125564849534	0.000000000000000	3.959234688972214	0.000000000000000	2.701919687209563	0.000000000000000	2.732910297086819	0.000000000000000	3.007114700509566	0.000000000000000	2.924430343236227	0.000000000000000	2.617761112713521	0.000000000000000	2.792007178796911	0.000000000000000	3.522097234240297	0.000000000000000	2.370349004903375	0.000000000000000	2.839758997532289	0.000000000000000	2.446014806268628	0.000000000000000	0.000000000000000
9.5	52	0.000000000000000	2.687914623593885	0.000000000000000	2.641380636477262	0.000000000000000	3.097426529500368	0.000000000000000	3.134442201070410	0.000000000000000	2.515431208537640	0.000000000000000	3.476172162933051	0.000000000000000	4.036150370156716	0.000000000000000	3.203185591129058	0.000000000000000	3.114956895170336	0.000000000000000	2.874178764862353	0.000000000000000	3.366182738839214	0.000000000000000	3.044739287888985	0.000000000000000	3.571771945005288	0.000000000000000	3.552190494503733	0.000000000000000	2.194596673396789	0.000000000000000	2.657276543922059	0.000000000000000	2.694644745697529	0.000000000000000	2.506361567797968	0.000000000000000	2.878184789924046	0.000000000000000	2.282312598147614	0.000000000000000	1.866839726949332	0.000000000000000	2.857385507803737	0.000000000000000	2.291798865493702	0.000000000000000	1.945518059160978	0.000000000000000	2.888151780277537	0.000000000000000	2.630516296509951	0.000000000000000
9.0	51	3.178476428548537	0.000000000000000	3.105919302631157	0.000000000000000	2.568182546550011	0.000000000000000	3.040989648431240	0.000000000000000	3.184437393840336	0.000000000000000	1.931352754542832	0.000000000000000	2.319264173316668	0.000000000000000	3.089927250584880	0.000000000000000	2.624875813223087	0.000000000000000	3.082299778867417	0.000000000000000	3.956895170336185	0.000000000000000	3.568086401948531	0.000000000000000	2.917027208922219	0.000000000000000	2.728936320225619	0.000000000000000	3.036951575169054	0.000000000000000	2.517802775374163	0.000000000000000	1.811588629298465	0.000000000000000	2.608435086369900	0.000000000000000	2.518924462391437	0.000000000000000	1.981508188315226	0.000000000000000	1.897253469217703	0.000000000000000	3.424734801140916	0.000000000000000	2.617504727109573	0.000000000000000	2.061500496747108	0.000000000000000	3.079703874627440	0.000000000000000	2.361215267762715	0.000000000000000	2.568695317757908
8.5	50	0.000000000000000	2.563183027273018	0.000000000000000	2.664551485434093	0.000000000000000	3.160689677274621	0.000000000000000	3.469121558824472	0.000000000000000	3.169278595006890	0.000000000000000	3.621863282376695	0.000000000000000	2.535749767650546	0.000000000000000	2.401820337788033	0.000000000000000	3.372015511329039	0.000000000000000	2.636252924398295	0.000000000000000	3.085472550716277	0.000000000000000	2.328718392462263	0.000000000000000	3.896452264205365	0.000000000000000	2.906996122167740	0.000000000000000	4.433227574271704	0.000000000000000	2.660160881966477	0.000000000000000	3.228407524917476	0.000000000000000	3.910297086818575	0.000000000000000	3.039932057814954	0.000000000000000	2.537320129474730	0.000000000000000	2.210043906034676	0.000000000000000	2.989359997436144	0.000000000000000	2.284620068583149	0.000000000000000	2.572412909015159	0.000000000000000	2.679293657661122	0.000000000000000	3.122360029484344	0.000000000000000
8.0	49	2.931961670352210	0.000000000000000	2.599653879434670	0.000000000000000	2.851072012306509	0.000000000000000	2.155529916995161	0.000000000000000	2.570970739992950	0.000000000000000	2.553632663525943	0.000000000000000	3.677434862032497	0.000000000000000	4.042720251257892	0.000000000000000	1.961349870204788	0.000000000000000	2.437489984937346	0.000000000000000	3.754030061212063	0.000000000000000	3.035893984552767	0.000000000000000	3.217959811556581	0.000000000000000	4.545300131397622	0.000000000000000	2.764638015575426	0.000000000000000	3.249142710636798	0.000000000000000	2.174374258885364	0.000000000000000	2.584879659007147	0.000000000000000	2.591898214915232	0.000000000000000	2.797936095888216	0.000000000000000	2.978752043072781	0.000000000000000	3.730955356856712	0.000000000000000	2.940935166490402	0.000000000000000	3.375893343588757	0.000000000000000	3.315226100054482	0.000000000000000	3.028298561035798	0.000000000000000	3.114283882959972
7.5	48	0.000000000000000	2.843252251386085	0.000000000000000	2.261096689420889	0.000000000000000	2.884594430022754	0.000000000000000	3.075890138768708	0.000000000000000	2.342306829471525	0.000000000000000	3.452712880171779	0.000000000000000	2.338076467006378	0.000000000000000	2.709547158927026	0.000000000000000	4.392910938050829	0.000000000000000	2.920071787969106	0.000000000000000	2.702304265615486	0.000000000000000	3.232830176585585	0.000000000000000	3.270262474762042	0.000000000000000	2.590391949492036	0.000000000000000	3.259109700990289	0.000000000000000	3.092106528218440	0.000000000000000	3.242636925936609	0.000000000000000	3.282601031952056	0.000000000000000	2.696471493125661	0.000000000000000	3.376053584591225	0.000000000000000	2.451559144954011	0.000000000000000	1.667980642886902	0.000000000000000	2.780149344614300	0.000000000000000	2.821203089446528	0.000000000000000	2.890106720507644	0.000000000000000	2.532833381405634	0.000000000000000
7.0	47	2.710572701342820	0.000000000000000	3.798512963497100	0.000000000000000	1.910136845816107	0.000000000000000	3.095631830272730	0.000000000000000	2.405634073646765	0.000000000000000	2.592346889722142	0.000000000000000	2.246386565394353	0.000000000000000	2.563183027273018	0.000000000000000	3.621190270166330	0.000000000000000	3.076178572573150	0.000000000000000	2.828830561163991	0.000000000000000	3.943691311732846	0.000000000000000	3.252956446495529	0.000000000000000	4.057141941479986	0.000000000000000	3.248373553824953	0.000000000000000	2.221036438803961	0.000000000000000	3.289779828862609	0.000000000000000	3.947472999391084	0.000000000000000	3.793737781623562	0.000000000000000	3.180174983174695	0.000000000000000	3.663301605614845	0.000000000000000	2.594494119155209	0.000000000000000	3.270102233759574	0.000000000000000	2.787456334326828	0.000000000000000	3.328077428452392	0.000000000000000	2.909399737204756	0.000000000000000	2.606063519533378
6.5	46	0.000000000000000	3.462199147517867	0.000000000000000	4.066884594430022	0.000000000000000	2.514085184116912	0.000000000000000	2.514758196327276	0.000000000000000	2.836265743678493	0.000000000000000	3.245168733775599	0.000000000000000	3.038553985193731	0.000000000000000	1.909079255199821	0.000000000000000	2.978816139473769	0.000000000000000	2.518636028586995	0.000000000000000	3.039066756401628	0.000000000000000	2.909559978207223	0.000000000000000	2.412428292151396	0.000000000000000	2.414319135980515	0.000000000000000	3.273883921417812	0.000000000000000	3.169567028811332	0.000000000000000	2.338717431016248	0.000000000000000	3.433676249078614	0.000000000000000	2.534788321635740	0.000000000000000	2.275069704836073	0.000000000000000	3.227317886100695	0.000000000000000	2.299842963817582	0.000000000000000	2.686728840175624	0.000000000000000	3.254206326314777	0.000000000000000	2.447809505496267	0.000000000000000	2.809569592667372	0.000000000000000
