** WARNING! Editing this file can cause it to become unusable with the SNC Patient software.

6.4.1.26817
File Revision:	D
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	28-Feb-2020-A 18x profile
Firmware Version:	10110
Board 1/Board 2 Revision:	F0/F0
Diode Type:	2
Temperature:	21.252, 0, 0
Inclinometer Tilt:	0
Inclinometer Rotation:	0
Background Threshold:	70
Measured Cavity Dose:	

Date:	02/28/20	Time:	15:46:17
Serial No:	85683016

Overrange Error:	0

Cal File:	Array cal 6x 200mu 37x37 fs 23iX 8_24_18.cal

Dose per Count:	0.0004448151886
Dose Info:	6X       6X SAD d=10 10x10
Dose IDDC:	1573002810

Time:	11001

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Device Position QA:	0
Shift X:	0.0	mm
Shift Y:	0.0	mm
Rotation:	0.0	deg

Background
Ycm	ROW	
11.0	55	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.574675865746759	0.000000000000000	2.661967136619671	0.000000000000000	2.581508515815085	0.000000000000000	2.546612005466120	0.000000000000000	2.587374595873746	0.000000000000000	2.682965036829650	0.000000000000000	2.637836216378362	0.000000000000000	2.342465753424658	0.000000000000000	2.337899543378995	0.000000000000000	2.897010298970103	0.000000000000000	1.962670399626704	0.000000000000000	1.651334866513349	0.000000000000000	2.595440455954404	0.000000000000000	2.396393693963937	0.000000000000000	3.210812252108123	0.000000000000000	2.843615638436156	0.000000000000000	2.448088524480885	0.000000000000000	2.417424924174249	0.000000000000000	2.636836316368363	0.000000000000000	2.702463087024631	0.000000000000000	2.165516781655168	0.000000000000000	2.856547678565477	0.000000000000000	2.929007099290071	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
10.5	54	0.000000000000000	0.000000000000000	0.000000000000000	2.108955771089558	0.000000000000000	2.359930673599307	0.000000000000000	2.780655267806553	0.000000000000000	2.256141052561411	0.000000000000000	1.955171149551711	0.000000000000000	2.398626803986268	0.000000000000000	2.564276905642769	0.000000000000000	3.485618104856181	0.000000000000000	2.669199746691997	0.000000000000000	2.171649501716495	0.000000000000000	3.580808585808086	0.000000000000000	2.197013631970136	0.000000000000000	3.116288371162884	0.000000000000000	1.590940905909409	0.000000000000000	2.840315968403160	0.000000000000000	3.171949471719495	0.000000000000000	2.600339966003399	0.000000000000000	2.699796686997967	0.000000000000000	1.873845948738460	0.000000000000000	2.139852681398527	0.000000000000000	1.731860147318601	0.000000000000000	2.512082125120821	0.000000000000000	2.256041062560411	0.000000000000000	2.468619804686198	0.000000000000000	0.000000000000000	0.000000000000000
10.0	53	0.000000000000000	0.000000000000000	1.746358697463587	0.000000000000000	3.410325634103256	0.000000000000000	2.711962137119621	0.000000000000000	2.174249241742492	0.000000000000000	2.599106755991067	0.000000000000000	3.278172182781722	0.000000000000000	2.419624704196247	0.000000000000000	2.984568209845682	0.000000000000000	2.639036096390361	0.000000000000000	2.221011232210112	0.000000000000000	3.692564076925641	0.000000000000000	2.854647868546479	0.000000000000000	2.727693897276939	0.000000000000000	2.663566976635670	0.000000000000000	3.465386794653868	0.000000000000000	2.356830983568310	0.000000000000000	2.379895343798954	0.000000000000000	2.621771156217712	0.000000000000000	2.554677865546779	0.000000000000000	2.290637602906376	0.000000000000000	2.436256374362564	0.000000000000000	3.068559810685598	0.000000000000000	2.051661500516615	0.000000000000000	2.487717894877179	0.000000000000000	2.143552311435523	0.000000000000000	0.000000000000000
9.5	52	0.000000000000000	2.348631803486318	0.000000000000000	2.305202813052028	0.000000000000000	2.714161917141619	0.000000000000000	2.748091857480919	0.000000000000000	2.205879412058794	0.000000000000000	3.039529380395294	0.000000000000000	3.531646835316468	0.000000000000000	2.796020397960204	0.000000000000000	2.731426857314268	0.000000000000000	2.489151084891511	0.000000000000000	2.926507349265073	0.000000000000000	2.648201846482019	0.000000000000000	3.105589441055895	0.000000000000000	3.052194780521948	0.000000000000000	1.866979968669800	0.000000000000000	2.306236043062361	0.000000000000000	2.367429923674299	0.000000000000000	2.194780521947805	0.000000000000000	2.522547745225478	0.000000000000000	1.994067259940673	0.000000000000000	1.617204946172049	0.000000000000000	2.502049795020498	0.000000000000000	1.995367129953671	0.000000000000000	1.658667466586675	0.000000000000000	2.523847615238476	0.000000000000000	2.294303902943039	0.000000000000000
9.0	51	2.781721827817218	0.000000000000000	2.718461487184615	0.000000000000000	2.252174782521748	0.000000000000000	2.658400826584008	0.000000000000000	2.785221477852215	0.000000000000000	1.693430656934306	0.000000000000000	2.029063760290637	0.000000000000000	2.702396427023964	0.000000000000000	2.303369663033697	0.000000000000000	2.701029897010299	0.000000000000000	3.454287904542879	0.000000000000000	3.137719561377196	0.000000000000000	2.554844515548445	0.000000000000000	2.352098123520981	0.000000000000000	2.657300936573010	0.000000000000000	2.176582341765823	0.000000000000000	1.560577275605773	0.000000000000000	2.260173982601740	0.000000000000000	2.197913541979136	0.000000000000000	1.710928907109289	0.000000000000000	1.656867646568676	0.000000000000000	2.994300569943006	0.000000000000000	2.256041062560411	0.000000000000000	1.805752758057528	0.000000000000000	2.688464486884645	0.000000000000000	2.044328900443289	0.000000000000000	2.248808452488085
8.5	50	0.000000000000000	2.222911042229110	0.000000000000000	2.324367563243676	0.000000000000000	2.759990667599907	0.000000000000000	3.046995300469953	0.000000000000000	2.783321667833217	0.000000000000000	3.186714661867147	0.000000000000000	2.221611172216112	0.000000000000000	2.107222611072226	0.000000000000000	2.957204279572043	0.000000000000000	2.286471352864714	0.000000000000000	2.692864046928641	0.000000000000000	2.024764190247642	0.000000000000000	3.400893244008933	0.000000000000000	2.547011965470120	0.000000000000000	3.879078758790788	0.000000000000000	2.337132953371329	0.000000000000000	2.810785588107856	0.000000000000000	3.423757624237576	0.000000000000000	2.654967836549678	0.000000000000000	2.213978602139786	0.000000000000000	1.936806319368063	0.000000000000000	2.609005766090058	0.000000000000000	1.979335399793354	0.000000000000000	2.226510682265107	0.000000000000000	2.349831683498317	0.000000000000000	2.733126687331267	0.000000000000000
8.0	49	2.571509515715095	0.000000000000000	2.279205412792054	0.000000000000000	2.492450754924508	0.000000000000000	1.881578508815785	0.000000000000000	2.243742292437423	0.000000000000000	2.233876612338766	0.000000000000000	3.201813152018131	0.000000000000000	3.546445355464454	0.000000000000000	1.717261607172616	0.000000000000000	2.138586141385861	0.000000000000000	3.288171182881712	0.000000000000000	2.666133386661334	0.000000000000000	2.820317968203180	0.000000000000000	3.978035529780355	0.000000000000000	2.377528913775289	0.000000000000000	2.828683798286838	0.000000000000000	1.893943938939439	0.000000000000000	2.258740792587408	0.000000000000000	2.257907542579075	0.000000000000000	2.439522714395227	0.000000000000000	2.612272106122721	0.000000000000000	3.252508082525081	0.000000000000000	2.557510915575109	0.000000000000000	2.923440989234410	0.000000000000000	2.900209979002100	0.000000000000000	2.624537546245375	0.000000000000000	2.724460887244609
7.5	48	0.000000000000000	2.479452054794521	0.000000000000000	1.952304769523048	0.000000000000000	2.516181715161817	0.000000000000000	2.696097056960971	0.000000000000000	2.052728060527281	0.000000000000000	2.987534579875346	0.000000000000000	2.047361930473619	0.000000000000000	2.376162383761624	0.000000000000000	3.845015498450155	0.000000000000000	2.549611705496117	0.000000000000000	2.326567343265673	0.000000000000000	2.817318268173183	0.000000000000000	2.859814018598140	0.000000000000000	2.236276372362764	0.000000000000000	2.855914408559144	0.000000000000000	2.699696696996967	0.000000000000000	2.847281938472819	0.000000000000000	2.873879278738793	0.000000000000000	2.360230643602307	0.000000000000000	2.949105089491051	0.000000000000000	2.132853381328534	0.000000000000000	1.429257074292571	0.000000000000000	2.430623604306236	0.000000000000000	2.468119854681198	0.000000000000000	2.499316734993168	0.000000000000000	2.197246941972470	0.000000000000000
7.0	47	2.374095923740959	0.000000000000000	3.325234143252342	0.000000000000000	1.671832816718328	0.000000000000000	2.710928907109289	0.000000000000000	2.107789221077892	0.000000000000000	2.233709962337100	0.000000000000000	1.940472619404726	0.000000000000000	2.245808752458088	0.000000000000000	3.176649001766490	0.000000000000000	2.703796287037963	0.000000000000000	2.460953904609539	0.000000000000000	3.461920474619205	0.000000000000000	2.841982468419824	0.000000000000000	3.555544445555444	0.000000000000000	2.840449288404493	0.000000000000000	1.935639769356398	0.000000000000000	2.876612338766123	0.000000000000000	3.457320934573209	0.000000000000000	3.307735893077359	0.000000000000000	2.783354997833550	0.000000000000000	3.191380861913808	0.000000000000000	2.266173382661734	0.000000000000000	2.844548878445489	0.000000000000000	2.440022664400227	0.000000000000000	2.903309669033097	0.000000000000000	2.545845415458454	0.000000000000000	2.284571542845716
6.5	46	0.000000000000000	3.037129620371296	0.000000000000000	3.559044095590441	0.000000000000000	2.198946771989468	0.000000000000000	2.201913142019131	0.000000000000000	2.494483884944839	0.000000000000000	2.845382128453821	0.000000000000000	2.666200046662000	0.000000000000000	1.668733126687331	0.000000000000000	2.592507415925074	0.000000000000000	2.173349331733494	0.000000000000000	2.652601406526014	0.000000000000000	2.537246275372463	0.000000000000000	2.100556611005566	0.000000000000000	2.089657700896577	0.000000000000000	2.866413358664134	0.000000000000000	2.785088157850882	0.000000000000000	2.031030230310302	0.000000000000000	3.009999000099990	0.000000000000000	2.215811752158118	0.000000000000000	1.966003399660034	0.000000000000000	2.812185448121855	0.000000000000000	2.000133320001333	0.000000000000000	2.332766723327667	0.000000000000000	2.849115088491151	0.000000000000000	2.134119921341199	0.000000000000000	2.465520114655201	0.000000000000000
