machine,date,energy,Flat_X,Sym_X,Flat_Y,Sym_Y,OAR_X(-6.0),OAR_X(-3.0),OAR_X(3.0),OAR_X(6.0),OAR_Y(-6.0),OAR_Y(-3.0),OAR_Y(3.0),OAR_Y(6.0),Flat_X_dif,Sym_X_dif,Flat_Y_dif,Sym_Y_dif,%dif OAR_X(-6.0),%dif OAR_X(-3.0),%dif OAR_X(3.0),%dif OAR_X(6.0),%dif OAR_Y(-6.0),%dif OAR_Y(-3.0),%dif OAR_Y(3.0),%dif OAR_Y(6.0)
EX,2020-08,0006E,2.33,-0.17,2.49,0.25,0.989,1.000,1.004,0.993,0.987,1.000,1.004,0.996,0.16,-0.06,0.22,0.03,-0.13,-0.16,-0.0,0.04,-0.21,-0.03,-0.02,-0.15, 
 EX,2020-08,0006X,2.44,0.51,1.86,0.22,1.029,1.017,1.007,1.019,1.016,1.006,1.009,1.024,0.0,0.02,0.07,0.16,-0.05,0.01,-0.03,-0.04,-0.3,-0.15,0.15,0.16, 
 EX,2020-08,0009E,1.54,0.19,1.17,0.17,1.012,1.002,0.992,1.011,1.004,1.000,0.999,1.009,-0.38,-0.07,-0.29,-0.01,-0.15,-0.07,0.01,-0.02,-0.25,-0.06,-0.12,-0.23, 
 EX,2020-08,0012E,1.73,0.02,0.99,0.01,1.005,0.999,0.992,1.011,1.004,0.999,0.995,1.006,-0.77,-0.15,-1.23,-0.01,-0.8,-0.1,0.0,-0.33,-0.74,-0.06,-0.07,-0.66, 
 EX,2020-08,0016E,1.7,0.08,1.05,-0.01,1.001,0.994,0.988,1.004,1.000,0.996,0.990,1.002,-0.91,-0.15,-1.22,-0.04,-0.55,-0.14,0.0,-0.19,-0.51,-0.13,-0.12,-0.47, 
 EX,2020-08,0018X,2.81,1.1,2.03,0.45,1.035,1.033,1.000,1.017,1.018,1.011,1.022,1.028,0.13,0.11,0.41,0.44,-0.07,0.02,-0.58,-0.07,-0.68,-0.56,0.37,0.24, 
 EX,2020-08,0020E,1.28,-0.15,1.75,-0.01,0.977,0.983,0.980,0.987,0.979,0.986,0.981,0.982,-0.62,-0.23,-0.35,-0.14,-0.67,-0.18,0.08,-0.08,-0.39,-0.02,-0.13,-0.58, 
 
